Tree,Month,Metal,Concentration
Balsam Spire,August,Aluminum,8.1
Beaupre,August,Aluminum,10
Hazendans,August,Aluminum,16.5
Hoogvorst,August,Aluminum,13.6
Raspalje,August,Aluminum,9.5
Unal,August,Aluminum,8.3
Columbia River,August,Aluminum,18.3
Fritzi Pauley,August,Aluminum,13.3
Trichobel,August,Aluminum,7.9
Gaver,August,Aluminum,8.1
Gibecq,August,Aluminum,8.9
Primo,August,Aluminum,12.6
Wolterson,August,Aluminum,13.4
Balsam Spire,November,Aluminum,11.2
Beaupre,November,Aluminum,16.3
Hazendans,November,Aluminum,15.3
Hoogvorst,November,Aluminum,15.6
Raspalje,November,Aluminum,10.5
Unal,November,Aluminum,15.5
Columbia River,November,Aluminum,12.7
Fritzi Pauley,November,Aluminum,11.1
Trichobel,November,Aluminum,19.9
Gaver,November,Aluminum,20.4
Gibecq,November,Aluminum,14.2
Primo,November,Aluminum,12.7
Wolterson,November,Aluminum,36.8
Balsam Spire,August,Cadmium,1.11
Beaupre,August,Cadmium,2.36
Hazendans,August,Cadmium,1.62
Hoogvorst,August,Cadmium,1.94
Raspalje,August,Cadmium,1.74
Unal,August,Cadmium,2.77
Columbia River,August,Cadmium,1.43
Fritzi Pauley,August,Cadmium,1.11
Trichobel,August,Cadmium,1.22
Gaver,August,Cadmium,2.77
Gibecq,August,Cadmium,1.63
Primo,August,Cadmium,2.88
Wolterson,August,Cadmium,
Balsam Spire,November,Cadmium,2.86
Beaupre,November,Cadmium,2.64
Hazendans,November,Cadmium,1.01
Hoogvorst,November,Cadmium,1.11
Raspalje,November,Cadmium,3.18
Unal,November,Cadmium,2.63
Columbia River,November,Cadmium,2.33
Fritzi Pauley,November,Cadmium,0.8
Trichobel,November,Cadmium,0.7
Gaver,November,Cadmium,2.26
Gibecq,November,Cadmium,0.29
Primo,November,Cadmium,3.29
Wolterson,November,Cadmium,0.91
Balsam Spire,August,Iron,6.7
Beaupre,August,Iron,10.8
Hazendans,August,Iron,31.3
Hoogvorst,August,Iron,8.1
Raspalje,August,Iron,8
Unal,August,Iron,22
Columbia River,August,Iron,18.4
Fritzi Pauley,August,Iron,58.7
Trichobel,August,Iron,5.3
Gaver,August,Iron,4.9
Gibecq,August,Iron,4.5
Primo,August,Iron,5.2
Wolterson,August,Iron,47.2
Balsam Spire,November,Iron,43.6
Beaupre,November,Iron,7.1
Hazendans,November,Iron,77.3
Hoogvorst,November,Iron,15.8
Raspalje,November,Iron,13.9
Unal,November,Iron,6.5
Columbia River,November,Iron,8.7
Fritzi Pauley,November,Iron,9.2
Trichobel,November,Iron,20.6
Gaver,November,Iron,25.8
Gibecq,November,Iron,9.6
Primo,November,Iron,11.7
Wolterson,November,Iron,59.3
Balsam Spire,August,Manganese,2
Beaupre,August,Manganese,5.1
Hazendans,August,Manganese,9.6
Hoogvorst,August,Manganese,2.5
Raspalje,August,Manganese,3.8
Unal,August,Manganese,2.1
Columbia River,August,Manganese,2
Fritzi Pauley,August,Manganese,2.3
Trichobel,August,Manganese,1.4
Gaver,August,Manganese,2.4
Gibecq,August,Manganese,1
Primo,August,Manganese,2.3
Wolterson,August,Manganese,4.6
Balsam Spire,November,Manganese,1.6
Beaupre,November,Manganese,1.7
Hazendans,November,Manganese,7.6
Hoogvorst,November,Manganese,3.5
Raspalje,November,Manganese,5
Unal,November,Manganese,2.3
Columbia River,November,Manganese,1.8
Fritzi Pauley,November,Manganese,2.2
Trichobel,November,Manganese,1.9
Gaver,November,Manganese,7.5
Gibecq,November,Manganese,2.4
Primo,November,Manganese,2.6
Wolterson,November,Manganese,19.7
Balsam Spire,August,Zinc,29
Beaupre,August,Zinc,24
Hazendans,August,Zinc,31
Hoogvorst,August,Zinc,34
Raspalje,August,Zinc,38
Unal,August,Zinc,26
Columbia River,August,Zinc,39
Fritzi Pauley,August,Zinc,26
Trichobel,August,Zinc,26
Gaver,August,Zinc,35
Gibecq,August,Zinc,31
Primo,August,Zinc,34
Wolterson,August,Zinc,42
Balsam Spire,November,Zinc,39
Beaupre,November,Zinc,32
Hazendans,November,Zinc,33
Hoogvorst,November,Zinc,37
Raspalje,November,Zinc,26
Unal,November,Zinc,29
Columbia River,November,Zinc,37
Fritzi Pauley,November,Zinc,28
Trichobel,November,Zinc,34
Gaver,November,Zinc,31
Gibecq,November,Zinc,51
Primo,November,Zinc,54
Wolterson,November,Zinc,50